train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ee_pose_success_Average,ee_pose_success_Std,ee_pose_success_Median,ee_pose_success_Min,ee_pose_success_Max,eval_ee_pose_success_Average,eval_ee_pose_success_Std,eval_ee_pose_success_Median,eval_ee_pose_success_Min,eval_ee_pose_success_Max,euclidean_distance_Average,euclidean_distance_Std,euclidean_distance_Median,euclidean_distance_Min,euclidean_distance_Max,eval_euclidean_distance_Average,eval_euclidean_distance_Std,eval_euclidean_distance_Median,eval_euclidean_distance_Min,eval_euclidean_distance_Max,target_coord_Average,target_coord_Std,target_coord_Median,target_coord_Min,target_coord_Max,eval_target_coord_Average,eval_target_coord_Std,eval_target_coord_Median,eval_target_coord_Min,eval_target_coord_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,goal_relative_distance_Average,goal_relative_distance_Std,goal_relative_distance_Median,goal_relative_distance_Min,goal_relative_distance_Max,eval_goal_relative_distance_Average,eval_goal_relative_distance_Std,eval_goal_relative_distance_Median,eval_goal_relative_distance_Min,eval_goal_relative_distance_Max,Initial_DataCollection_AverageReturn,step
229.61111111111111,199.954755684849,128.5,2,501,230.72222222222223,158.57974003830782,240.0,13,501,-104.20722,102.20233,-47.153458,-304.63098,-0.19113414,-94.82263,72.6918,-96.35528,-291.45285,-2.6357691,432619,2179.5789864063263,-0.45384225,0.19094923,-0.4307612,-1.1248801,-0.03969315,-0.4109818,0.17095129,-0.38808057,-1.0925038,-0.023421885,0.06702153399467699,0.2500592889210024,0.0,False,True,0.002889477486154587,0.053676143732682535,0.0,False,True,0.3714408706070308,0.2069959758347048,0.37341595437929687,0.015331507984884848,0.8577418631299495,0.3648594709707602,0.1299395401285347,0.3492540509380373,0.02409958613575475,0.8043795359795683,0.15302040487136057,0.35831063883076625,0.0,-0.3,0.8,0.18316879364314947,0.3924584528484685,0.2,-0.3,0.8,0.003387369949189451,0.05810245841629061,0.0,False,True,0.003852636648206116,0.06194993009732146,0.0,False,True,0.660562,0.4510611,0.58540577,0.00018620864,1.7787147,0.65053993,0.45214593,0.5671101,0.0014404468,1.8843708,-147.81152,100
257.7647058823529,193.17974848548047,225.0,1,501,206.47619047619048,168.82693845293852,137.0,1,501,-107.00141,82.5271,-85.7329,-263.2589,-0.061875615,-83.36737,71.57282,-54.180202,-243.93405,-0.076652505,474871,2383.922751903534,-0.4151127,0.1621975,-0.40075266,-1.0272849,-0.027565148,-0.4037626,0.16082789,-0.39301997,-0.92476606,-0.03850616,0.0629849383842994,0.24293586791790422,0.0,False,True,0.03643911439114391,0.1873801092259609,0.0,False,True,0.3339218101444558,0.1607242153555505,0.3043232023060135,0.008844964261833684,0.8695202055179656,0.28820040257773666,0.1212918445080983,0.2738050480831552,0.025605508868443615,0.7705688207770196,0.20082154267457783,0.343318916227611,0.2,-0.3,0.8,0.14169741697416974,0.35559827376655123,0.0,-0.3,0.8,0.0027384755819260614,0.052258744085686336,0.0,False,True,0.004151291512915129,0.06429664292706055,0.0,False,True,0.6521912,0.4559175,0.57898295,9.801239e-06,1.8605645,0.65266246,0.46017015,0.568116,0.0008093454,1.9362411,-147.81152,110
256.0,204.3428491530839,231.0,4,501,262.88235294117646,216.67619711095097,219.0,1,501,-103.12941,89.75464,-86.506966,-268.52252,-0.42756346,-107.53869,93.5035,-79.39226,-250.52237,-0.071033135,517686,2593.6784205436707,-0.40284926,0.17789489,-0.38031495,-0.92647225,-0.069640175,-0.40907535,0.17134838,-0.39126775,-1.0945272,-0.03379929,0.009765625,0.0983374677747977,0.0,False,True,0.052808234504363394,0.22365045243168089,0.0,False,True,0.30079274942935796,0.11362630762997823,0.28842513929656455,0.03297335230106687,0.6173825876834593,0.34721398001217785,0.16682663932090458,0.3334272064126264,0.011840503090418205,0.7336992379662717,0.15743001302083334,0.3620554071177185,0.1,-0.3,0.8,0.17713880808532856,0.36276733258477534,0.2,-0.3,0.8,0.0029296875,0.05404724258602231,0.0,False,True,0.0024614007607965988,0.04955141034411986,0.0,False,True,0.6519963,0.45868832,0.5697715,9.2320144e-05,1.7772974,0.65654206,0.45015815,0.57073426,0.00010796636,1.8022956,-147.81152,120
216.6315789473684,197.35279938177393,143.0,1,501,278.8125,185.6721636211255,248.0,15,501,-92.06705,90.03186,-56.81667,-259.01123,-0.09212793,-123.13505,91.51067,-91.973785,-256.3559,-3.8907292,560000,2804.4622945785522,-0.42499366,0.17654686,-0.40921432,-1.1486512,-0.019555362,-0.44164103,0.18511379,-0.4312896,-1.1777817,-0.076357745,0.014334305150631681,0.11886476705264792,0.0,False,True,0.029589778076664425,0.169452716443373,0.0,False,True,0.36129071250930195,0.11675556009805135,0.4169065476591669,0.03513099465425366,0.8009932379569754,0.3928194287681288,0.18589637284611552,0.4263417159661987,0.01854264541140699,0.7014933278433564,0.16745221898283122,0.3469555039261731,0.1,-0.3,0.8,0.12225211088694612,0.3805313440659299,0.0,-0.3,0.8,0.003401360544217687,0.05822191417899213,0.0,False,True,0.0022416498542927594,0.047292968401481304,0.0,False,True,0.65786546,0.45202282,0.580927,0.00017706305,1.801337,0.6525492,0.45259964,0.56751263,0.00026254728,1.7804503,-147.81152,130
215.78947368421052,185.26697065454618,196.0,1,501,246.05555555555554,164.78385581058137,232.5,1,501,-90.64461,86.22883,-67.59641,-257.19138,-0.037650537,-103.1193,76.66862,-95.21943,-253.24857,-0.09892046,602890,3018.376223564148,-0.42006037,0.17204745,-0.40718016,-0.9981221,-0.037650537,-0.41908953,0.18069175,-0.3980607,-1.1492906,-0.07357396,0.020975609756097562,0.14330259436401516,0.0,False,True,0.004289907428313389,0.06535674504264952,0.0,False,True,0.3606532117446081,0.17146945878725975,0.31966748560295283,0.009699105554567688,0.7950468637195547,0.33831988880023356,0.1599831317767934,0.28436175431772526,0.05531715062732556,0.7615637455695752,0.14782113821138212,0.36532996628886494,0.0,-0.3,0.8,0.14335064348611426,0.3873760594514592,0.1,-0.3,0.8,0.003658536585365854,0.06037509168042227,0.0,False,True,0.003612553623842854,0.05999585885840551,0.0,False,True,0.6513241,0.4563745,0.5551547,1.4893711e-05,1.7178825,0.65489936,0.4519927,0.5581276,0.0004824549,1.6820127,-147.81152,140
206.55,178.18318523362407,110.5,9,501,234.68421052631578,199.70690435092465,141.0,6,501,-83.54464,76.20752,-46.81173,-251.55623,-1.9734163,-98.74667,90.0194,-58.29049,-263.35168,-1.2445378,645680,3229.778783798218,-0.40447655,0.16587606,-0.3849697,-1.1029072,-0.0432824,-0.42076403,0.18108137,-0.40099567,-1.0729896,-0.028078647,0.04938271604938271,0.21666578734301536,0.0,False,True,0.10002242655303879,0.3000298997424769,0.0,False,True,0.29148344437138884,0.1365128235316256,0.26352524141341077,0.019238979218740966,0.7345918554201053,0.3286263854950499,0.15809841250467838,0.34468610545591066,0.02657973274986688,0.7647032367501038,0.14920519648188493,0.36124651628011256,0.1,-0.3,0.8,0.18854003139717423,0.3487794357120255,0.2,-0.3,0.8,0.0038731541999515854,0.06211403123687096,0.0,False,True,0.0031397174254317113,0.05594514813565294,0.0,False,True,0.65059566,0.45066175,0.55999774,8.6892396e-05,1.696144,0.65578824,0.45802578,0.5628776,5.7619065e-05,1.97056,-147.81152,150
168.85185185185185,177.9531156947232,78.0,2,501,275.6875,208.9131753713729,250.0,18,501,-65.40377,72.56439,-34.31815,-264.62515,-0.19144067,-110.16372,89.042854,-90.75032,-279.63184,-9.455395,688902,3443.5800063610077,-0.38734418,0.16140316,-0.3665901,-1.1394593,-0.029823449,-0.39959636,0.17649885,-0.3694398,-1.1072093,-0.059872728,0.0877385391533231,0.28291427659374824,0.0,False,True,0.04987531172069826,0.21768731015257053,0.0,False,True,0.3020217731008346,0.1519786019461561,0.2890793506007332,0.012848101283650805,0.8280864034009344,0.29315342299543956,0.15472372507118812,0.26146835814866465,0.014727460781265597,0.8203400348033016,0.1763983329677561,0.3901658507428733,0.2,-0.3,0.8,0.12975893599334995,0.3343867128645102,0.1,-0.3,0.8,0.005044966001316078,0.07084853082006459,0.0,False,True,0.0022670596236681025,0.04755964743699049,0.0,False,True,0.64898837,0.45858696,0.5592711,0.00019428879,1.7508417,0.6520183,0.44098076,0.585476,0.00024062395,1.7935648,-147.81152,160
194.56521739130434,201.20200234265033,117.0,1,501,221.9,172.93232780483817,180.0,2,501,-80.77038,89.399666,-41.329445,-248.62213,-0.09006165,-88.389694,72.14559,-62.82837,-243.66626,-0.19580042,731750,3654.355751514435,-0.41513264,0.17446822,-0.40352377,-1.142785,-0.06639092,-0.39833128,0.16857213,-0.3803485,-1.0500115,-0.06577338,0.027039106145251398,0.16219738864765124,0.0,False,True,0.007886435331230283,0.08845473118492082,0.0,False,True,0.2954047735387444,0.10667051382542601,0.2883396279584925,0.018381927924128138,0.6948706981911116,0.2795675573511791,0.11223511420453937,0.26371245823088374,0.03282661781194246,0.6825978608158468,0.1453705772811918,0.3611996132667663,0.1,-0.3,0.8,0.16777076761303888,0.36035930406935407,0.1,-0.3,0.8,0.004022346368715084,0.06329428961924739,0.0,False,True,0.003605227579990987,0.05993521430751258,0.0,False,True,0.65592486,0.45379043,0.5650935,0.002036851,1.7546607,0.65388197,0.4535944,0.5623764,0.0004022494,1.7991987,-147.81152,170
197.52380952380952,172.48426264931535,151.0,11,501,264.5,186.78630838474217,304.0,1,501,-77.6577,75.630554,-58.075684,-253.4712,-2.8336153,-101.006256,76.649055,-109.89758,-249.18161,-0.087213576,775239,3865.824840068817,-0.39315617,0.15942688,-0.379325,-1.130331,-0.040049385,-0.3818762,0.15854399,-0.36085367,-0.9146162,-0.030249242,0.03085824493731919,0.17293355272100208,0.0,False,True,0.01606805293005671,0.125737307928449,0.0,False,True,0.2979623119187546,0.15031581025012403,0.26325114436043096,0.02058559906460469,0.7422857033220981,0.37324034593213373,0.1643444224113983,0.3538999108340237,0.02534421277939589,0.745097758996391,0.1440212150433944,0.3390744557344299,0.1,-0.3,0.8,0.20923125393824824,0.37538030464139743,0.3,-0.3,0.8,0.004339440694310511,0.06573134677435928,0.0,False,True,0.002835538752362949,0.05317422751998186,0.0,False,True,0.6593728,0.4549065,0.5775559,0.00026714057,1.7383788,0.6520978,0.455596,0.5757828,0.002867151,1.8996831,-147.81152,180
238.5,203.9769186288815,182.5,1,501,228.16666666666666,189.3909096727366,184.5,28,501,-97.91464,90.77279,-63.86548,-254.82983,-0.056470707,-103.30319,100.14105,-68.600876,-291.13147,-9.184579,817847,4065.8844027519226,-0.4105436,0.16409995,-0.3955987,-1.0101608,-0.03918656,-0.4527532,0.18635474,-0.43394876,-1.0125266,-0.056213077,0.04775215467039366,0.2132413805871845,0.0,False,True,0.009739469198928659,0.0982069851825815,0.0,False,True,0.3012040143963518,0.13368832874516018,0.2873092413217648,0.023547527258905267,0.8196419966833074,0.31354447948406355,0.10817998455874095,0.3233026176123101,0.038334484184969604,0.6872868279228611,0.17110024070191784,0.3866094230570766,0.1,-0.3,0.8,0.13532180829478124,0.33598023218868955,0.0,-0.3,0.8,0.0034940600978336828,0.05900721686257038,0.0,False,True,0.003165327489651814,0.056172130024907084,0.0,False,True,0.6496696,0.45588732,0.56366336,0.0020019338,1.7252288,0.6563948,0.4549992,0.5705623,0.00070071965,1.7968965,-147.81152,190
