train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,goal_relative_distance_Average,goal_relative_distance_Std,goal_relative_distance_Median,goal_relative_distance_Min,goal_relative_distance_Max,eval_goal_relative_distance_Average,eval_goal_relative_distance_Std,eval_goal_relative_distance_Median,eval_goal_relative_distance_Min,eval_goal_relative_distance_Max,Initial_DataCollection_AverageReturn,step
501.0,0.0,501.0,501,501,471.6666666666667,82.96719565922157,501.0,237,501,-586.9115,137.63261,-533.6836,-793.1727,-382.09875,-549.5957,180.86703,-618.44305,-831.53406,-166.06818,4211,40.60589957237244,-1.1714802,0.37457108,-1.0876445,-2.3553329,-0.3470492,-1.1652205,0.34752956,-1.1566482,-2.1676817,-0.29691872,-0.01969282420878961,0.7423773597103875,-0.011434863254038224,-2.345899438295495,1.739877158719258,-0.036921748980182405,0.6961306186922215,0.010439671189543708,-2.349898303791581,1.7297063841443914,-0.5303031238131877,0.4722305090668094,-0.37008297879807495,-2.2876835667741866,-1.2189455876193689e-05,-0.5287610389212001,0.46179030368323537,-0.38319007714153275,-2.04542899323196,-2.031406344116249e-05,0.0,0.0,0.0,False,False,0.00023557126030624264,0.01534652294454872,0.0,False,True,0.5303031238131877,0.4722305090668094,0.37008297879807495,1.2189455876193689e-05,2.2876835667741866,0.5287610389212001,0.46179030368323537,0.38319007714153275,2.031406344116249e-05,2.04542899323196,-586.9115,0
501.0,0.0,501.0,501,501,424.5,139.15980022980776,501.0,116,501,-598.4808,177.19904,-547.35657,-898.0183,-314.492,-458.53598,234.78934,-446.34558,-914.2684,-92.349915,47760,88.41537857055664,-1.1945726,0.43121433,-1.169863,-2.3224602,-0.31001726,-1.0801791,0.44313002,-1.0100973,-2.3420947,-0.29668096,-0.001007272259920707,0.7081971889442926,-0.000363385817925882,-2.348171546983122,1.7312897488003007,-0.037827015285391855,0.7092823637138862,-0.0027747137672258985,-2.3472210181946807,1.7880832314733528,-0.5445811587483521,0.4910001597935063,-0.3857178451835156,-2.2957279670373087,-1.999317684600252e-05,-0.4999408694307695,0.45215350694637607,-0.37736492297015667,-2.317581380567286,-2.123744799271271e-05,0.0,0.0,0.0,False,False,0.0007067137809187279,0.02657469353634369,0.0,False,True,0.5445811587483521,0.4910001597935063,0.3857178451835156,1.999317684600252e-05,2.2957279670373087,0.4999408694307695,0.45215350694637607,0.37736492297015667,2.123744799271271e-05,2.317581380567286,-586.9115,10
411.3,164.9545695032423,501.0,47,501,457.22222222222223,123.82225412777765,501.0,107,501,-439.2613,271.4745,-432.34235,-920.7139,-23.130293,-561.9993,215.94693,-577.1613,-920.7755,-65.04371,91422,135.21495985984802,-1.0679826,0.5317674,-0.8837859,-2.477059,-0.2880973,-1.2291601,0.38282686,-1.1408775,-2.5484457,-0.29718783,-0.032298726682754124,0.6890843494138087,0.0009121771432163653,-2.3506532269847846,1.7203545168828502,0.01022139220413533,0.6909958413332422,0.0040336382836687786,-2.341260752291248,1.7247314177780977,-0.4702415090510055,0.5033164509604907,-0.3013821638966207,-2.3031926987742724,-2.0609683514099045e-05,-0.5600307256049504,0.48870155082160416,-0.38089335505794525,-2.425581335900042,-5.065398316824593e-05,0.0009725261366399222,0.031170183341672444,0.0,False,True,0.00024301336573511544,0.01558699169946496,0.0,False,True,0.4702415090510055,0.5033164509604907,0.3013821638966207,2.0609683514099045e-05,2.3031926987742724,0.5600307256049504,0.48870155082160416,0.38089335505794525,5.065398316824593e-05,2.425581335900042,-586.9115,20
424.7,153.20838749885726,501.0,89,501,459.77777777777777,116.5940514756485,501.0,130,501,-390.11557,171.77078,-440.8166,-685.2699,-54.34644,-438.26746,136.68831,-481.52652,-562.9386,-107.769714,135452,182.4321208000183,-0.9185673,0.29734313,-0.88203937,-1.9644784,-0.29562432,-0.9532158,0.31051838,-0.90599686,-2.409596,-0.29855108,0.015184089707378206,0.6770846472326701,0.009687742251176128,-2.337378544294298,1.7476886701709535,-0.008069786399851484,0.7030559244380254,0.002186913814549031,-2.343609418017821,1.7529059198446304,-0.4387374704607542,0.34385420093424396,-0.361412776793485,-1.9170280439661984,-3.0417987464292223e-05,-0.4553526726892438,0.357306495318954,-0.3803839365652813,-2.353036050314603,-8.460538372334625e-06,0.0004709206498704968,0.021695595949685786,0.0,False,True,0.0002416626389560174,0.015543623712794588,0.0,False,True,0.4387374704607542,0.34385420093424396,0.361412776793485,3.0417987464292223e-05,1.9170280439661984,0.4553526726892438,0.357306495318954,0.3803839365652813,8.460538372334625e-06,2.353036050314603,-586.9115,30
408.6363636363636,135.87044144884544,501.0,120,501,438.1,133.28949696056324,501.0,88,501,-429.40036,230.5792,-390.29224,-808.1099,-73.859604,-471.8605,185.4319,-501.3485,-719.3091,-49.94281,178935,230.22934532165527,-1.0508127,0.43928933,-0.9551346,-2.2988775,-0.29100305,-1.077061,0.30272377,-1.0556331,-2.1896687,-0.29401046,-0.01940145769257328,0.6959766850405444,0.012270747651052773,-2.352110344946605,1.7262854024281493,-0.002989639770737618,0.7154410805317287,-0.00041963850823169166,-2.3407786739620655,1.729758096481447,-0.47845383983973305,0.4510833078311898,-0.31855944259709257,-2.1068266879284963,-6.58031227831965e-05,-0.4990745249294289,0.41007159261849957,-0.38078064393199546,-1.8797839827989273,-1.0120337085028908e-06,0.0008898776418242492,0.029817541139517702,0.0,False,True,0.00045651677699155445,0.02136137564446353,0.0,False,True,0.47845383983973305,0.4510833078311898,0.31855944259709257,6.58031227831965e-05,2.1068266879284963,0.4990745249294289,0.41007159261849957,0.38078064393199546,1.0120337085028908e-06,1.8797839827989273,-586.9115,40
449.3,105.83765870426274,501.0,192,501,496.44444444444446,12.885056901621532,501.0,460,501,-445.1065,191.129,-422.42566,-761.92725,-148.12134,-610.9769,148.73436,-528.3495,-887.1253,-481.82846,222260,277.7754237651825,-0.99066645,0.3853714,-0.9212929,-2.3372664,-0.29043117,-1.2307055,0.39326382,-1.2187004,-2.802764,-0.29671103,-0.0116547269573242,0.7090351855997898,0.0014398997223781206,-2.335299398577636,1.729891342642098,-0.00023300023431641956,0.6964836383856576,0.0006514654697154169,-2.3362647308545954,2.0139475419026214,-0.44788601199314687,0.41957342697774025,-0.29411985492718284,-2.272999451054364,-8.460576348567894e-06,-0.5608890662783899,0.4917665044948961,-0.43892926880471483,-2.613736454665289,-4.313914458323881e-05,0.0004451368795904741,0.021093570886620942,0.0,False,True,0.00022381378692927484,0.014958733045216603,0.0,False,True,0.44788601199314687,0.41957342697774025,0.29411985492718284,8.460576348567894e-06,2.272999451054364,0.5608890662783899,0.4917665044948961,0.43892926880471483,4.313914458323881e-05,2.613736454665289,-586.9115,50
467.3333333333333,95.2237131997884,501.0,198,501,470.44444444444446,86.42416214502248,501.0,226,501,-485.3282,174.30405,-460.607,-719.65985,-141.04865,-530.64575,143.30743,-590.44214,-649.2987,-153.69814,265678,324.71848320961,-1.0385054,0.39813375,-0.97532195,-2.514258,-0.29927936,-1.1279669,0.29202166,-1.1204004,-2.3316965,-0.29948682,-0.001278915444559901,0.6942905891641366,-0.0015209026082639713,-2.330119846359324,1.7294537396725445,-0.0016044394244966555,0.69343348555513,0.005342484970143648,-2.3338530018603,1.7314223223117753,-0.47835905119422967,0.42837747871209164,-0.33913247235417837,-2.3025807934621154,-0.00014225807523166045,-0.5183920938700824,0.4287170123098271,-0.37933309269333804,-2.0949063313141867,-3.0497239768591256e-05,0.00023775558725630053,0.015417491998928652,0.0,False,True,0.00023618327822390176,0.01536644056647437,0.0,False,True,0.47835905119422967,0.42837747871209164,0.33913247235417837,0.00014225807523166045,2.3025807934621154,0.5183920938700824,0.4287170123098271,0.37933309269333804,3.0497239768591256e-05,2.0949063313141867,-586.9115,60
466.22222222222223,98.36641000506195,501.0,188,501,432.1,132.3128489603334,501.0,101,501,-532.0192,171.27881,-542.4878,-735.72205,-119.32468,-449.17612,172.27773,-538.61316,-624.29865,-91.03783,309067,371.898805141449,-1.141128,0.341085,-1.1044436,-2.077989,-0.29027987,-1.0395188,0.36591086,-1.023725,-1.8568109,-0.28592402,-0.004072237692873187,0.6862282834501537,-0.00026763444982205487,-2.3365224660167185,1.7322577492179672,-0.00477244325854961,0.6664159309320586,0.004464110777190977,-2.3317738942788484,1.7348818436367768,-0.5217462296678419,0.44790426968395547,-0.3550981436127611,-2.0625917603987416,-0.00011150618967605691,-0.4836608203179296,0.41340329000620607,-0.35137613994064176,-1.815792968564267,-5.229145384885031e-05,0.00023832221163012392,0.015435848345768615,0.0,False,True,0.0009257116408238834,0.030411423820366035,0.0,False,True,0.5217462296678419,0.44790426968395547,0.3550981436127611,0.00011150618967605691,2.0625917603987416,0.4836608203179296,0.41340329000620607,0.35137613994064176,5.229145384885031e-05,1.815792968564267,-586.9115,70
411.4,163.05042164925547,501.0,81,501,459.0,118.79393923933998,501.0,123,501,-462.73306,229.73921,-489.22333,-847.4198,-51.95087,-597.7884,196.58392,-627.9745,-768.8063,-77.92503,352473,418.9890344142914,-1.1247764,0.35868752,-1.0703001,-2.293161,-0.2956499,-1.3023714,0.3379241,-1.2711865,-2.06353,-0.28964126,-0.005519224622634889,0.6748818514500308,0.0013755385776860782,-2.3450810870289507,1.7230585662497857,0.0058640254652183145,0.6940434339145941,0.00744275010317349,-2.3431125376656365,1.7230576489019875,-0.5137553528804921,0.4479378996389435,-0.35756720142819876,-2.2836775487606213,-7.246924922002518e-06,-0.5920674974018928,0.502902217476298,-0.42032637606202,-1.972522342634984,-3.682289310469322e-06,0.0007292173067574137,0.026994176202969025,0.0,False,True,0.0002420721374969741,0.015556784326370974,0.0,False,True,0.5137553528804921,0.4479378996389435,0.35756720142819876,7.246924922002518e-06,2.2836775487606213,0.5920674974018928,0.502902217476298,0.42032637606202,3.682289310469322e-06,1.972522342634984,-586.9115,80
485.0,45.254833995939045,501.0,357,501,470.3333333333333,86.73843182554984,501.0,225,501,-526.8411,160.70688,-519.2533,-861.3886,-327.40894,-501.99084,175.97894,-545.18835,-693.2823,-131.25113,395528,467.64521980285645,-1.0862705,0.421017,-1.0217384,-2.5502355,-0.29684496,-1.0673085,0.38036454,-1.0480195,-2.0927477,-0.29276884,-0.006970547784698536,0.6841571753013828,0.009270659082670727,-2.337435417955223,1.7270830304763287,-0.004080809515359916,0.6721495077006588,0.00043580134799026647,-2.331024913148262,1.727829478166006,-0.4938614719065487,0.4566330606853409,-0.3582981057046747,-2.4904844834104205,-3.6878265349052364e-06,-0.5023457995260737,0.4190349756282827,-0.3427657286497991,-2.0619053464810855,-7.654975053107693e-05,0.0002290950744558992,0.015134153094995413,0.0,False,True,0.00023623907394283014,0.015368255107290897,0.0,False,True,0.4938614719065487,0.4566330606853409,0.3582981057046747,3.6878265349052364e-06,2.4904844834104205,0.5023457995260737,0.4190349756282827,0.3427657286497991,7.654975053107693e-05,2.0619053464810855,-586.9115,90
