train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,ob_Average,ob_Std,ob_Median,ob_Min,ob_Max,eval_ob_Average,eval_ob_Std,eval_ob_Median,eval_ob_Min,eval_ob_Max,score_Average,score_Std,score_Median,score_Min,score_Max,eval_score_Average,eval_score_Std,eval_score_Median,eval_score_Min,eval_score_Max,success_Average,success_Std,success_Median,success_Min,success_Max,eval_success_Average,eval_success_Std,eval_success_Median,eval_success_Min,eval_success_Max,goal_relative_distance_Average,goal_relative_distance_Std,goal_relative_distance_Median,goal_relative_distance_Min,goal_relative_distance_Max,eval_goal_relative_distance_Average,eval_goal_relative_distance_Std,eval_goal_relative_distance_Median,eval_goal_relative_distance_Min,eval_goal_relative_distance_Max,Initial_DataCollection_AverageReturn,step
457.0,124.45079348883236,501.0,105,501,501.0,0.0,501.0,501,501,-750.7415,280.16254,-833.09674,-1132.1328,-57.0655,-950.7564,190.02676,-896.7627,-1358.4873,-736.72577,4509,51.759360551834106,-1.6427605,0.39396197,-1.6098621,-2.4249892,-0.28838566,-1.8977171,0.43132022,-1.8189613,-2.927851,-0.93157446,-0.15921907233059104,0.7385695715316919,-0.024732162056377835,-2.3300542905123205,1.8007704182628872,-0.12429333302351324,0.750404105260896,-0.024357092279669968,-2.3514564074419746,1.7656339541166384,-0.7515826126402129,0.6216212049708465,-0.5103824880930389,-2.4229750815629094,-5.866927904919772e-05,-0.8401010336303105,0.746114150782469,-0.4938938423646333,-2.8018388567176276,-0.0002529854284438089,0.00024313153415998054,0.015590780006692338,0.0,False,True,0.0,0.0,0.0,False,False,0.7515826126402129,0.6216212049708465,0.5103824880930389,5.866927904919772e-05,2.4229750815629094,0.8401010336303105,0.746114150782469,0.4938938423646333,0.0002529854284438089,2.8018388567176276,-750.7415,0
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-961.00433,58.529587,-943.2941,-1068.2148,-893.1017,-916.76587,182.36928,-893.6422,-1303.8618,-612.2719,49599,104.85204219818115,-1.9181726,0.2634279,-1.9668976,-2.5049944,-0.7657517,-1.8298718,0.4182934,-1.8004165,-2.8222358,-0.9457313,-0.13640733439469577,0.7717510684189807,-0.021396844977698355,-2.344033565290554,1.8120065113242372,-0.15431186529155894,0.7705664676332454,-0.018036247894585883,-2.3411785054087773,1.7702292566956825,-0.8681752890444309,0.704176820716945,-0.582456005331213,-2.3688752158556667,-5.13355292173015e-05,-0.8066986646235073,0.7236739655670856,-0.48081895508775374,-2.7717552796856824,-0.00032224466467382766,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.8681752890444309,0.704176820716945,0.582456005331213,5.13355292173015e-05,2.3688752158556667,0.8066986646235073,0.7236739655670856,0.48081895508775374,0.00032224466467382766,2.7717552796856824,-750.7415,10
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-833.07007,129.4859,-844.6207,-1023.04535,-633.72174,-934.70184,159.42976,-863.6638,-1224.1375,-711.6415,94689,154.15087246894836,-1.6628146,0.34959614,-1.6917918,-2.401311,-0.617874,-1.8656723,0.36396977,-1.8206705,-2.6845887,-0.5729183,-0.15194478903726866,0.7765147478696921,-0.020296479678647276,-2.3386322109019386,1.7426546160980623,-0.16052393669327347,0.7743628922128797,-0.028121295296850556,-2.3480574896189133,1.7694571291876724,-0.7803308408699225,0.5945365632830668,-0.6074809527860141,-2.3460461148125713,-0.00019076099090939436,-0.8230432350223301,0.725949277171935,-0.4491762745798227,-2.683182646712445,-0.0001972959837849876,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7803308408699225,0.5945365632830668,0.6074809527860141,0.00019076099090939436,2.3460461148125713,0.8230432350223301,0.725949277171935,0.4491762745798227,0.0001972959837849876,2.683182646712445,-750.7415,20
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-825.0732,151.62515,-810.2449,-1168.7231,-629.7549,-872.9707,173.82904,-915.843,-1065.7935,-553.14105,139603,202.37205457687378,-1.6468526,0.37711033,-1.5923283,-2.669081,-0.9052398,-1.7424566,0.40258566,-1.8123993,-2.6084445,-0.6559026,-0.14674592282060855,0.7829535442159606,-0.019080070672553823,-2.3540093294573556,1.8311386462560117,-0.15725394271814017,0.7743217276819717,-0.023365255967697673,-2.354926094047307,1.759067830756041,-0.7528846154363953,0.6201693643677341,-0.4878447213986848,-2.564510928145319,-3.731171467520611e-07,-0.7608408523347782,0.697995643969719,-0.41354301376490055,-2.5914547864010333,-9.342906650744876e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7528846154363953,0.6201693643677341,0.4878447213986848,3.731171467520611e-07,2.564510928145319,0.7608408523347782,0.697995643969719,0.41354301376490055,9.342906650744876e-05,2.5914547864010333,-750.7415,30
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-973.60925,153.65257,-991.2241,-1191.6301,-705.83606,-827.1479,161.99184,-863.19006,-1001.4503,-506.2718,184693,250.8083198070526,-1.9433316,0.36530048,-1.968128,-2.7673383,-1.1383287,-1.6509938,0.37842247,-1.7450757,-2.3748531,-0.7871398,-0.12465995416334703,0.8086159080079018,-0.014179968058044638,-2.3464515694631114,1.7637402701781224,-0.11622964177339541,0.7994496485282488,-0.01526145972039569,-2.3533957544377704,1.7526638305250568,-0.8725645548679658,0.7361785264688694,-0.48666891736570866,-2.5566444961094232,-5.9674835202250254e-05,-0.7761564069853037,0.5949027678592785,-0.5658230234871661,-2.1745446069466046,-7.673499670323575e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.8725645548679658,0.7361785264688694,0.48666891736570866,5.9674835202250254e-05,2.5566444961094232,0.7761564069853037,0.5949027678592785,0.5658230234871661,7.673499670323575e-05,2.1745446069466046,-750.7415,40
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-782.65015,119.33669,-722.5098,-1003.58044,-641.60144,-821.15045,144.59325,-867.44336,-1075.5493,-571.1862,229783,301.7720787525177,-1.5621758,0.3086961,-1.5414326,-2.3962123,-0.7701413,-1.6390228,0.33374178,-1.6636475,-2.431303,-0.74843574,-0.1458222232665778,0.7956415715441763,-0.023444600079368064,-2.3414172784265386,1.7540066421908067,-0.13112345995017166,0.8013399109595859,-0.014104659008287966,-2.343692487097908,1.7387651142827814,-0.734647301405573,0.5527406693964578,-0.5144741257741167,-2.3335619611183893,-0.0003857267206408034,-0.7440821273728728,0.6155769124213603,-0.45583526846200245,-2.245476825672254,-0.00019522249396185243,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.734647301405573,0.5527406693964578,0.5144741257741167,0.0003857267206408034,2.3335619611183893,0.7440821273728728,0.6155769124213603,0.45583526846200245,0.00019522249396185243,2.245476825672254,-750.7415,50
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-851.102,173.77898,-797.73047,-1132.0293,-558.5906,-893.37964,180.65802,-814.7857,-1244.2904,-714.15393,274873,355.306503534317,-1.6988064,0.3874964,-1.6352522,-2.713586,-0.870469,-1.7831929,0.41433638,-1.6682925,-2.9719129,-0.93793595,-0.13765288648433907,0.8144136068562559,-0.023777165625581458,-2.3534051385842685,1.7797146805129802,-0.08958157689784195,0.82284664614388,-0.007736539175163315,-2.3494009949316745,1.7400478315426173,-0.7768400570811871,0.6391804882196538,-0.4847434428842572,-2.579212544750643,-0.0002752774402951519,-0.8091643213554316,0.6800026111745248,-0.5453829667656004,-2.5888847128647274,-4.115681612293365e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7768400570811871,0.6391804882196538,0.4847434428842572,0.0002752774402951519,2.579212544750643,0.8091643213554316,0.6800026111745248,0.5453829667656004,4.115681612293365e-05,2.5888847128647274,-750.7415,60
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-779.7175,161.72986,-748.3154,-1061.2502,-534.8549,-829.4493,294.40094,-933.95953,-1155.4281,-392.46344,319963,404.1019492149353,-1.5563223,0.3602383,-1.5438725,-2.5798123,-0.8154803,-1.6555874,0.6176565,-1.8945911,-2.545566,-0.47967583,-0.097772603733765,0.8287104571820234,-0.001037354908761336,-2.350606500466248,1.7844712044806907,-0.12181974668260794,0.8411960837479244,-0.016799444774134916,-2.357392222622167,1.768038100578317,-0.7199880188099319,0.5764149459727799,-0.5228407852618855,-2.3990987839212616,-2.2055153338416175e-05,-0.7341125387405791,0.7084503922001011,-0.43895880873098947,-2.4855316504115965,-1.333592088748059e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7199880188099319,0.5764149459727799,0.5228407852618855,2.2055153338416175e-05,2.3990987839212616,0.7341125387405791,0.7084503922001011,0.43895880873098947,1.333592088748059e-05,2.4855316504115965,-750.7415,70
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-861.90594,227.07996,-824.10547,-1285.8334,-546.834,-801.244,137.06679,-822.31604,-980.911,-513.8153,365053,452.8115813732147,-1.7203712,0.47773707,-1.6173493,-3.0798547,-0.8841823,-1.5992895,0.321801,-1.5818957,-2.3128426,-0.7825474,-0.12125245407203811,0.8454033563207268,-0.0035133848459592927,-2.3498232699882373,1.7650059957311193,-0.0998603030598903,0.8469408746117569,-0.006343319175138853,-2.363375424856877,1.7663239199858014,-0.7716161152032399,0.6835533699484743,-0.4310004308068516,-2.6767763951472414,-7.890229946481975e-06,-0.728319883375705,0.5971971020177137,-0.5163457409115242,-2.2848098688847136,-1.9157990681889503e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7716161152032399,0.6835533699484743,0.4310004308068516,7.890229946481975e-06,2.6767763951472414,0.728319883375705,0.5971971020177137,0.5163457409115242,1.9157990681889503e-05,2.2848098688847136,-750.7415,80
501.0,0.0,501.0,501,501,501.0,0.0,501.0,501,501,-822.56256,194.5141,-907.8755,-1028.7043,-464.53018,-823.6321,142.71242,-848.68536,-1128.78,-616.7815,410143,501.9409098625183,-1.6418413,0.4169434,-1.7754034,-2.286037,-0.75203913,-1.6439762,0.31113008,-1.6431203,-2.4644642,-0.9069743,-0.11091739833714212,0.8546309608747583,-0.003186048080542437,-2.344645042395335,1.7355819836565602,-0.11841502494239545,0.8403674154613481,-0.004926405168186529,-2.357086539415249,1.7709742824511034,-0.7119607874694464,0.6705273226329571,-0.41656444326103875,-2.174050477450769,-2.2042808092995192e-05,-0.7325015933191606,0.6297576133348063,-0.5020107220205201,-2.458852358564474,-1.765327426293123e-05,0.0,0.0,0.0,False,False,0.0,0.0,0.0,False,False,0.7119607874694464,0.6705273226329571,0.41656444326103875,2.2042808092995192e-05,2.174050477450769,0.7325015933191606,0.6297576133348063,0.5020107220205201,1.765327426293123e-05,2.458852358564474,-750.7415,90
